markdown_content,index_in_notebook,author_name,notebook_title,markdown_key
"['## Our goal\n', '\n', 'In this competition we are asked to predict if a customer will make a transaction or not regardless of the amount of money transacted. Hence our goal is to solve a binary classification problem. In the data description you can see that the features given are numeric and anonymized. Furthermore the data seems to be artificial as they state that ""the data has the same structure as our real data"". \n', '\n', '### Table of contents\n', '\n', '1. [Loading packages](#load) (complete)\n', '2. [Sneak a peek at the data](#data) (complete)\n', '2. [What can we say about the target?](#target) (complete)\n', '3. [Can we find relationships between features?](#correlation) (complete)\n', '4. [Baseline submission](#baselines) (complete)\n', '5. [Basic feature engineering](#engineering) (complete)\n', '6. [Gaussian Mixture Clustering](#clustering) (complete)']",0,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m0
['## Kernel settings'],1,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m1
"['## Loading packages <a class=""anchor"" id=""load""></a>']",2,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m2
"['## Sneak a peek at the data <a class=""anchor"" id=""data""></a>']",3,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m3
['### Train'],4,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m4
"['Ok, 200.000 rows and 202 features. ']",5,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m5
"[""The target as well as the ID-Code of a sample are 2 special variables. Consequently 200 features are left. Browsing through the columns we can see that they look really numeric. It seems that there are no counter or integer variables. In addition it looks like if there are no missing values. Let's check it out:""]",6,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m6
['### Test'],7,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m7
['At a first glance this looks similar to train except from the missing target.'],8,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m8
"['### Submission\n', '\n', ""Before we start, let's look at the sample submission as well:""]",9,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m9
"['Ok, not much to say about it.']",10,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m10
"['## What can we say about the target? <a class=""anchor"" id=""target""></a>']",11,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m11
"['### Take Away\n', '\n', '* We have to solve an imbalanced class problem. The number of customers that will not make a transaction is much higher than those that will. \n', '* It seem that there is no relationship of the target with the index of the train dataframe. This is more empressend by the zero targets than for the ones. \n', '* Take a look at the jitter plots within the violinplots. We can see that the targets look uniformly distributed over the indexes. It seems that the competitors were careful during the process of ordering the data. Once more this indicates that the data is simulated.']",12,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m12
"['## Can we find relationships between features? <a class=""anchor"" id=""correlation""></a>']",13,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m13
"['### Linear correlations\n', '\n', ""I have already seen some correlation heatmaps in public kernels and it seems as if there is almost no correlation between features. Let's check this out by computing all correlation values and plotting the overall distribution:""]",14,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m14
['Woooow! :-O All features seem to have no linear correlation!!! Neither in train nor in test. Very strange. We know that they are anonymized and perhaps they are decorrelated by some transformation as well. '],15,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m15
"['### Random Forest Top Features\n', '\n', ""To start easy, let's use a random forest to select top 10 features. They can serve as a starting point to discover their nature and for trying to understand the data. In addition they may yield some ideas on how to generate new features. I am going to use stratified KFold as a cross validation strategy. It's somehow arbitrary to use KFold as we don't know if we have time series data given, but it may serve as a good starting point. \n"", '\n', ""To start simple I like to use a random forest that helps us to select important features. As there are no linear correlations it's a good idea to start with a nonlinear model that allows us to discover features, their importances as well as interactions. Let's start! :-)""]",16,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m16
['You can see that the score is not as good as some other scores of public kernels but nontheless my attempt is to understand the data by improving this score. We can use more powerful models later on.'],17,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m17
"[""Let's take a look at n_top features of your choice:""]",18,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m18
"['Ok, that\'s enough to start with the ""data-understanding-journey"".']",19,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m19
"['### Exploring top features\n', '\n', 'First of all: How do the distributions of the variables look like with respect to the targets in train? Can we observe discrepancies between train and test features for selected top features?']",20,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m20
"['### Take Away\n', '\n', '* Interestingly there are some peeks inside the distributions, especially for variables 81, 12 and 53. Why do these data points accumulate on these values?\n', '* We can observe that the accumulations are less dense in the test data. \n', '* Variable 174 seem to miss the bulb on the right hand side of the distribution in the test data. ']",21,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m21
['### How do the scatter plots look like?'],22,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m22
['Crazy! Can you see the sharp limits of several variables where the samples with target 1 suddenly accumulate and seldomly pass over. Look at var 81 and 12 for example. You can see that there are limits close to 10 (var 81) and 13.5 (var 12). This finding could be a nice entry point for further feature engineering.'],23,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m23
"['## Baseline submissions \n', '\n', '### What score does the forest yield on public LB?']",24,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m24
['Yields 0.662 on public LB.'],25,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m25
"['## Feature engineering \n', '\n', ""Let's do some basic feature engineering. Perhaps it helps to improve:""]",26,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m26
['### Rounding & quantile based binning'],27,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m27
['### New feature importances'],28,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m28
"['## Gaussian Mixture Clustering  <a class=""anchor"" id=""clustering""></a>\n', '\n', ""The majority of the data looks like a big gaussian distribution. Besides that there seems to be at least one or two more gaussians that could explain the second and third mode that we can find for important features. Let's motivate this even further by looking at scatter and kde-plots of some top-features:""]",29,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m29
"['* At least one big gaussians with one or two small, very thin but long gaussians.\n', ""* It's very interesting that we can still find outliers beside sharp lines. \n"", '\n', ""Let's assume now that the data was generated using a mixture of gaussians and let's try to cluster them. Perhaps we can see that some clusters occupy more hot targets than others.""]",30,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m30
"['### Take-Away\n', '\n', ""* By fitting the gaussian mixture model we are maximizing the log likelihood. The higher, the better the gaussians suite to our data. As it's difficult to choose the right number of components (gaussians) I decided to use a stratified k fold of the train data. This way we can fit gaussians to a train subset, and test how big the log likelihood is on the test subset. By doing so three times for each selected component, we gain some more information about the stability of our solution. **We can see that 3 gaussians seem to be sufficient as the log likelihood values decrease with more components**. \n"", '* This need not be true as the **solution depends on the initialization of the gaussians (the seeds I used) and with more data, the result may be different**. \n', '* But we can say: There are **at least 3 gaussians**. This is what we have already found by visual exploration of the data. \n', ""* The individual score per data spot can be understood as a measure of density. If it's low, the data spot lives in a region with other data points far away. If it's high, it should have a lot of neighbors. Consequently the individual logL-score can tell us something about outliers in the data.""]",31,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m31
"[""* As we have much more cold-targets (zero) that hot (ones), I'm not surprised that hot targets occupy only a small part of the data per cluster. Nonetheless we can see that cluster 1 has significantly more hot targets than the others.\n"", '* The second plot shows that most hot targets are located in cluster 1 followed by cluster 2. This confirms our assumption that the big gaussian in the middle (cluster 0) has the smallest amount of hot targets and that the small, thin side distributions are more likely to have hot targets. ']",32,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m32
['Only some features are important to separate the structure of the data. '],33,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m33
['Good luck for the last days! :-)'],34,allunia,santander-customer-transaction-eda,allunia_santander-customer-transaction-eda_m34
['![Imgur](https://i.imgur.com/L2Jaqm8.png)'],0,amrmahmoud123,1-guide-to-ensembling-methods,amrmahmoud123_1-guide-to-ensembling-methods_m0
