,markdown_content,preprocessed_markdown
0,"['## Our goal\n', '\n', 'In this competition we are asked to predict if a customer will make a transaction or not regardless of the amount of money transacted. Hence our goal is to solve a binary classification problem. In the data description you can see that the features given are numeric and anonymized. Furthermore the data seems to be artificial as they state that ""the data has the same structure as our real data"". \n', '\n', '### Table of contents\n', '\n', '1. [Loading packages](#load) (complete)\n', '2. [Sneak a peek at the data](#data) (complete)\n', '2. [What can we say about the target?](#target) (complete)\n', '3. [Can we find relationships between features?](#correlation) (complete)\n', '4. [Baseline submission](#baselines) (complete)\n', '5. [Basic feature engineering](#engineering) (complete)\n', '6. [Gaussian Mixture Clustering](#clustering) (complete)']",goal competit ask predict custom make transact regardless amount money transact henc goal solv binari classif problem data descript see featur given numer anonym furthermor data seem artifici state data structur real data tabl content 1 load packag load complet 2 sneak peek data data complet 2 say target target complet 3 find relationship featur correl complet 4 baselin submiss baselin complet 5 basic featur engin engin complet 6 gaussian mixtur cluster cluster complet
1,['## Kernel settings'],kernel set
2,"['## Loading packages <a class=""anchor"" id=""load""></a>']",load packag class anchor id load
3,"['## Sneak a peek at the data <a class=""anchor"" id=""data""></a>']",sneak peek data class anchor id data
4,['### Train'],train
5,"['Ok, 200.000 rows and 202 features. ']",ok 200 000 row 202 featur
6,"[""The target as well as the ID-Code of a sample are 2 special variables. Consequently 200 features are left. Browsing through the columns we can see that they look really numeric. It seems that there are no counter or integer variables. In addition it looks like if there are no missing values. Let's check it out:""]",target well id code sampl 2 special variabl consequ 200 featur left brow column see look realli numer seem counter integ variabl addit look like miss valu let check
7,['### Test'],test
8,['At a first glance this looks similar to train except from the missing target.'],first glanc look similar train except miss target
9,"['### Submission\n', '\n', ""Before we start, let's look at the sample submission as well:""]",submiss start let look sampl submiss well
10,"['Ok, not much to say about it.']",ok much say
11,"['## What can we say about the target? <a class=""anchor"" id=""target""></a>']",say target class anchor id target
12,"['### Take Away\n', '\n', '* We have to solve an imbalanced class problem. The number of customers that will not make a transaction is much higher than those that will. \n', '* It seem that there is no relationship of the target with the index of the train dataframe. This is more empressend by the zero targets than for the ones. \n', '* Take a look at the jitter plots within the violinplots. We can see that the targets look uniformly distributed over the indexes. It seems that the competitors were careful during the process of ordering the data. Once more this indicates that the data is simulated.']",take away solv imbalanc class problem number custom make transact much higher seem relationship target index train datafram empressend zero target one take look jitter plot within violinplot see target look uniformli distribut index seem competitor care process order data indic data simul
13,"['## Can we find relationships between features? <a class=""anchor"" id=""correlation""></a>']",find relationship featur class anchor id correl
